n,Sample # ,Sample ID,Date Form was filled out,Date Sample was taken (if different),Age,Current Residence,Childhood Residence,Diet,Demographic,Chemical Treatment,Natural Hair Color,Hair Texture,Hair Density,Products Used,Brand of Shampoo Used,Brand of Conditioner Used,Brand of Other Products Used,Features of Product? ,Notable Ingredients?
14,H14,H14-3.26.2021-03,3/26/2021 21:12,,20,On campus (Freeman),"Beijing, China",none,Student,Perm/Straightener,black,NaN,Thick/Coarse ,"Shampoo, Conditioner",Herbal Essences ,Herbal Essences,NaN,NaN,"aloe, hemp, argan oil"
15,H15,H15-3.26.2021-01,3/26/2021 21:26,,21,"Wellesley, MA","Hillsborough, NJ",no beef,Student,none,black,Wavy ,Medium-density ,"Shampoo, Conditioner","“Love, Beauty, and Planet”","“Love, Beauty, and Planet”",NaN,NaN,NaN
15,H15,H15-3.26.2021-02,3/26/2021 21:26,,21,"Wellesley, MA","Hillsborough, NJ",no beef,Student,none,black,Wavy ,Medium-density ,"Shampoo, Conditioner","“Love, Beauty, and Planet”","“Love, Beauty, and Planet”",NaN,NaN,NaN
15,H15,H15-3.26.2021-03,3/26/2021 21:26,,21,"Wellesley, MA","Hillsborough, NJ",no beef,Student,none,black,Wavy ,Medium-density ,"Shampoo, Conditioner","“Love, Beauty, and Planet”","“Love, Beauty, and Planet”",NaN,NaN,NaN
16,H16,H16-3.27.2021-01,3/27/2021 13:04,,20,Stone-Davis,"Derby Connecticut, Bristol Connecticut ","No pork, minimal dairy",Student,Dye,brown,Wavy ,Medium-density ,"Shampoo, Conditioner, Styling products ",John Frieda ,John Frieda,John Frieda,anti-frizz,NaN
16,H16,H16-3.27.2021-02,3/27/2021 13:04,,20,Stone-Davis,"Derby Connecticut, Bristol Connecticut ","No pork, minimal dairy",Student,Dye,brown,Wavy ,Medium-density ,"Shampoo, Conditioner, Styling products ",John Frieda ,John Frieda,John Frieda,anti-frizz,NaN
17,H17,H17-3.27.2021-01,3/27/2021 13:22,,21,McAfee,"Boulder, Colorado",none,Student,none,brown,NaN,Medium-density,Shampoo,Head and Shoulders,NaN,NaN,anti-dandruff,NaN
17,H17,H17-3.27.2021-02,3/27/2021 13:22,,21,McAfee,"Boulder, Colorado",none,Student,none,brown,NaN,Medium-density,Shampoo,Head and Shoulders,NaN,NaN,anti-dandruff,NaN
17,H17,H17-3.27.2021-03,3/27/2021 13:22,,21,McAfee,"Boulder, Colorado",none,Student,none,brown,NaN,Medium-density,Shampoo,Head and Shoulders,NaN,NaN,anti-dandruff,NaN
18,H18,H18-3.28.2021-01,3/28/2021 11:46,,21,McAfee,"West Windsor, New Jersey",none,Student,none,black,Straight,Thick/Coarse ,"Shampoo, Conditioner",Garnier Fructis ,Garnier Fructis,NaN,anti-frizz,"active protein, vitamin E, argan oil"
