,,%,%,%,%,%,%,%,%,%,%,%,%,%,%
Element,Description,Si,P,S,Ca,Ti,Fe,Ni,Cu,Zn,Br,Sr,Mo,Sb,Pb
Dimension,,,,,,,,,,,,,,,
H18-03.28.21-03,,0.03492,0.1735,5.144,0.975,0.00139,0.00485,0.00197,0.04236,0.03663,0.000358,0.00129,0.00004,0.00143,0.00042
H20-03.28.21-01,,0.01722,0.1185,4.311,0.5892,0.00076,0.00437,0.00144,0.01937,0.02491,0.000561,0.00111,0.00011,0.00154,0.0004
H20-03.28.21-02,,0.02695,0.1828,7.238,0.9041,0.01239,0.00633,0.00211,0.0072,0.01479,0.00081,0.00068,0.00007,0.00458,0.00017
H20-03.28.21-03,,0.01401,0.1615,5.938,0.731,0.0039,0.00571,0.00192,0.0142,0.01994,0.00067,0.0009,0.00013,0.00345,0.00029
H21-03.28.21-01,,0.0502,0.116,3.261,0.1541,0.00114,0.00284,0.00121,0.00769,0.01604,0.000173,0.00058,< 0.00003,0.0003,0.00005
H21-03.28.21-02,,0.1165,0.1792,5.881,0.4175,0.00315,0.0045,0.0021,0.01181,0.02134,0.000323,0.00059,0.00003,0.00134,0.00008
H21-03.28.21-03,,0.1376,0.2367,7.271,0.6227,0.01129,0.00544,0.00287,0.01098,0.01649,0.00039,0.00052,< 0.00004,0.002,0.00008
H22-03.29.21-01,,< 0.0014,0.1942,6.999,0.1951,0.02462,0.00823,0.00177,0.0024,0.03301,< 0.00002,0.00014,< 0.00003,0.00019,0.00012
H22-03.29.21-02,,< 0.0014,0.1957,7.397,0.2656,0.04046,0.01087,0.00169,0.0026,0.0386,< 0.00002,0.00016,< 0.00004,0.0002,0.00009
H22-03.29.21-03,,< 0.0016,0.2137,8.366,0.1596,0.01831,0.00895,0.00171,0.00264,0.03612,< 0.00002,0.00015,0.00005,0.00017,0.0001
H-Stuffing Standard-02,,0.2411,0.2781,0.01104,0.08584,0.1392,0.00379,0.00166,0.00039,0.00061,0.000328,0.000159,< 0.00001,0.0071,0.00005
,,,,,,,,,,,,,,,
% STDEV,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Standards,,,,,,,,,,,,,,,
Element,Description,,,,,,,,,,,,,,
Dimension,,,,,,,,,,,,,,,
NIST 1515,,,0.2244,0.1887,1.396,0.00182,0.00957,0.00008,0.00057,0.00141,0.000261,0.00252,< 0.00004,< 0.00005,0.00008
NIST 2709,,,0.04414,0.07129,1.59,0.2833,3.257,0.00716,0.003,0.0099,0.00066,0.0208,0.00018,0.00075,0.00179
NIST 2709,,,0.04482,0.06976,1.581,0.2814,3.252,0.00715,0.00295,0.00985,0.00065,0.02073,0.00019,0.00077,0.00179
NIST 2709 (6),,,0.04716,0.07345,1.601,0.2867,3.276,0.00726,0.00294,0.00994,0.00066,0.02078,0.00021,0.00083,0.00178
NIST 1515 (5),,,0.2229,0.188,1.405,0.00186,0.00963,0.00011,0.0006,0.00143,0.000262,0.00253,< 0.00004,< 0.00001,0.00008
NIST 2709 (8),,,0.04607,0.07,1.575,0.2866,3.225,0.00708,0.00293,0.00984,0.00066,0.02064,0.00021,0.00078,0.00177
NIST 1515 (7),,,0.2235,0.1883,1.41,0.00185,0.00958,0.0001,0.0006,0.00142,0.000263,0.00253,< 0.00004,0.00011,0.00008
NIST 2709 (10),,,0.04489,0.06879,1.571,0.2859,3.22,0.00705,0.00289,0.0097,0.00066,0.02065,0.00022,0.00079,0.00176
NIST 1515 (8),,,0.2127,0.1797,1.336,0.00178,0.009,0.00009,0.00057,0.00137,0.000255,0.0025,< 0.00003,< 0.00005,0.00007
NIST 2709 (11),,,0.04574,0.06945,1.596,0.288,3.229,0.00711,0.00294,0.00976,0.00066,0.02064,0.00023,0.00072,0.00177
NIST 1515 (9),,,0.2258,0.1913,1.42,0.0019,0.0097,0.00012,0.00059,0.00145,0.000262,0.00256,< 0.00004,< 0.00005,0.00008
NIST 2709 (12),,,0.04657,0.07005,1.571,0.2887,3.226,0.00704,0.00297,0.00969,0.00065,0.02066,0.00018,0.00075,0.00178
NIST 1515 (10),,,0.2114,0.1785,1.336,0.0018,0.00903,0.00007,0.00057,0.00136,0.000252,0.00252,< 0.00003,< 0.00005,0.00006
